Counter, Temperature, Humidity, Distance, Pressure
1,27.75,56.72,5,1009.60
2,27.76,55.72,12,1009.52
3,27.75,53.99,5,1009.53
4,27.75,52.02,4,1009.54
5,27.78,50.17,13,1009.51
6,27.77,48.51,2,1009.53
7,27.80,47.08,12,1009.50
8,27.81,45.76,4,1009.52
9,27.80,44.56,3,1009.51
10,27.81,43.58,11,1009.50
11,27.81,42.72,10,1009.46
12,27.82,42.07,169,1009.53
13,27.80,41.48,401,1009.48
14,27.85,41.02,427,1009.51
15,27.81,40.70,417,1009.51
16,27.83,40.31,437,1009.50
17,27.82,40.00,435,1009.50
18,27.84,39.77,403,1009.50
19,27.82,39.61,425,1009.51
20,27.84,39.45,437,1009.51
21,27.82,39.22,434,1009.53
22,27.83,39.07,453,1009.53
23,27.87,38.95,2764,1009.49
24,27.82,38.88,2794,1009.50
25,27.84,38.89,2804,1009.51
26,27.81,38.83,369,1009.49
27,28.37,40.62,2744,1010.57
28,29.06,52.39,2868,1010.45
29,29.46,63.54,417,1009.57
30,29.36,70.59,508,1009.57
31,29.30,74.20,460,1009.56
32,29.23,75.76,483,1009.55
33,29.51,76.21,87,1010.71
34,30.88,79.29,2791,1011.07
35,31.76,83.36,2790,1011.48
36,31.64,86.31,469,1009.67
37,31.47,88.35,470,1009.68
38,31.33,89.18,-1,1010.55
39,33.48,90.55,-1,1009.83
40,32.83,91.53,453,1009.67
41,32.74,92.30,-1,1009.67
42,32.51,92.85,-1,1009.71
43,32.28,93.22,324,1009.68
44,32.10,93.26,335,1009.70
45,31.89,93.08,164,1009.71
46,31.76,92.68,51,1009.72
47,31.66,91.96,76,1009.73
48,31.51,91.12,67,1009.71
49,31.44,90.29,75,1009.72
50,31.38,89.41,64,1009.70
51,31.31,88.54,67,1009.70
52,31.25,87.76,66,1009.70
53,31.20,87.08,67,1009.70
54,31.14,86.32,67,1009.71
55,31.10,85.56,64,1009.73
56,31.03,84.81,66,1009.78
57,31.02,84.08,65,1009.76
58,30.98,83.43,65,1009.72
59,30.92,82.80,70,1009.73
60,30.89,82.20,66,1009.79
61,30.81,81.57,66,1009.79
62,30.82,81.00,65,1009.76
