Counter, Temperature, Humidity, Distance, Pressure
1,27.36,39.77,61,1009.45
2,27.34,39.41,63,1009.47
3,27.36,39.10,62,1009.45
4,27.34,38.86,61,1009.46
5,27.37,38.65,62,1009.48
6,27.39,38.63,63,1009.47
7,27.36,39.29,61,1009.46
8,27.38,39.84,60,1009.47
9,27.38,40.06,61,1009.44
10,27.37,40.27,60,1009.46
11,27.40,40.37,61,1009.43
12,27.39,40.37,60,1009.46
13,27.40,40.47,62,1009.48
14,27.39,40.78,60,1009.46
15,27.40,41.07,62,1009.47
16,27.40,41.55,59,1009.46
17,27.40,42.35,61,1009.46
18,27.42,42.77,62,1009.45
19,27.40,42.81,60,1009.49
20,27.42,42.76,61,1009.49
21,27.42,42.66,60,1009.47
22,27.43,42.36,60,1009.49
23,27.41,42.14,62,1009.50
24,27.41,42.02,61,1009.48
25,27.45,42.04,60,1009.49
26,27.44,42.05,61,1009.50
27,27.41,42.55,59,1009.48
28,27.44,43.11,62,1009.47
29,27.44,43.28,61,1009.47
30,27.43,43.28,62,1009.47
31,27.45,43.17,61,1009.47
32,27.46,43.04,61,1009.48
33,27.45,42.79,60,1009.48
34,27.44,42.55,59,1009.46
35,27.44,42.25,58,1009.48
36,27.43,42.00,60,1009.47
37,27.46,41.69,58,1009.47
38,27.49,41.37,60,1009.51
39,27.47,40.98,59,1009.47
40,27.49,40.56,60,1009.49
41,27.48,40.11,60,1009.47
42,27.47,39.65,61,1009.45
43,27.48,39.33,60,1009.47
44,27.48,39.22,60,1009.46
45,27.50,39.08,59,1009.48
46,27.50,38.91,60,1009.45
47,27.47,38.87,64,1009.47
48,27.51,39.04,65,1009.46
49,27.49,39.65,60,1009.46
50,27.48,40.11,60,1009.47
51,27.53,40.30,58,1009.47
52,27.50,40.47,59,1009.48
53,27.54,40.88,61,1009.46
54,27.51,41.28,59,1009.48
55,27.52,41.48,59,1009.44
56,27.54,41.53,59,1009.47
57,27.51,41.69,64,1009.46
58,27.53,41.80,83,1009.46
59,27.54,41.82,-1,1009.46
60,27.97,42.37,2552,1009.52
61,29.18,52.75,395,1009.48
62,29.75,64.16,344,1009.49
63,29.50,71.95,379,1009.51
64,29.44,77.49,113,1009.53
65,29.36,81.52,89,1009.55
66,29.31,84.46,86,1009.58
67,29.24,86.71,131,1009.53
68,29.20,88.46,138,1009.57
69,29.10,89.71,118,1009.56
70,29.09,90.70,36,1009.59
71,29.03,91.44,39,1009.61
72,28.98,92.02,50,1009.58
73,28.93,92.43,41,1009.62
74,28.88,92.81,41,1009.62
75,28.84,93.08,50,1009.62
