Counter, Temperature, Humidity, Distance, Pressure
772,29.09,33.70,235,1009.58
773,29.10,33.95,225,1009.58
774,29.09,34.16,225,1009.55
775,29.09,34.20,226,1009.59
776,29.08,34.24,235,1009.56
777,29.10,34.16,235,1009.58
778,29.07,34.16,226,1009.57
779,29.08,34.07,233,1009.59
780,29.10,33.97,228,1009.55
781,29.11,33.79,226,1009.56
782,29.10,33.67,225,1009.56
783,29.10,33.49,227,1009.56
784,29.11,33.37,235,1009.56
785,29.11,33.29,224,1009.54
786,29.08,33.19,226,1009.55
787,29.13,33.19,225,1009.54
788,29.09,33.17,224,1009.56
789,29.11,33.16,227,1009.55
790,29.09,33.16,228,1009.58
791,29.13,33.22,237,1009.55
792,29.10,33.20,235,1009.54
793,29.12,33.47,228,1009.53
794,29.14,33.83,227,1009.53
795,29.12,34.25,225,1009.55
796,29.12,34.50,225,1009.55
797,29.11,34.65,226,1009.53
798,29.13,34.64,235,1009.56
799,29.12,34.44,226,1009.54
800,29.13,34.43,226,1009.56
801,29.14,34.23,235,1009.55
802,29.12,34.11,226,1009.54
803,29.12,33.95,236,1009.55
804,29.13,33.93,229,1009.56
805,29.12,33.80,235,1009.56
806,29.12,33.71,234,1009.57
807,29.12,33.67,226,1009.57
808,29.11,33.58,227,1009.57
809,29.12,33.51,235,1009.56
810,29.13,33.45,244,1009.55
811,29.16,33.44,233,1009.53
812,29.13,33.46,235,1009.58
813,29.14,33.40,225,1009.57
814,29.14,33.33,227,1009.55
815,29.12,33.28,228,1009.52
816,29.16,33.27,225,1009.59
817,29.15,33.16,235,1009.55
818,29.16,33.12,225,1009.58
819,29.14,33.15,226,1009.57
820,29.13,33.43,224,1009.57
821,29.14,33.87,226,1009.57
822,29.14,34.13,225,1009.56
823,29.16,34.34,235,1009.57
